Time: 2021-06-03 13:57:24.635690 || ip: 127.0.0.1 || Browser: firefox || Error: 'NoneType' object has no attribute 'find_all'
Time: 2021-06-04 09:29:32.705357 || ip: 127.0.0.1 || Browser: firefox || Error: 'NoneType' object has no attribute 'find_all'
Time: 2021-06-04 10:22:55.783165 || ip: 127.0.0.1 || Browser: firefox || Error: name 'full_parsing' is not defined
Time: 2021-06-04 10:30:11.249940 || ip: 127.0.0.1 || Browser: firefox || Error: name 'full_parsing' is not defined
Time: 2021-06-04 10:30:23.364435 || ip: 127.0.0.1 || Browser: firefox || Error: name 'full_parsing' is not defined
Time: 2021-06-04 10:31:44.366576 || ip: 127.0.0.1 || Browser: firefox || Error: Can't convert 'Request' object to str implicitly
Time: 2021-06-04 10:32:05.391532 || ip: 127.0.0.1 || Browser: firefox || Error: Can't convert 'Request' object to str implicitly
Time: 2021-06-04 10:33:29.962726 || ip: 127.0.0.1 || Browser: firefox || Error: Can't convert 'Request' object to str implicitly
Time: 2021-06-04 10:35:31.295492 || ip: 127.0.0.1 || Browser: firefox || Error: Can't convert 'Request' object to str implicitly
Time: 2021-06-04 10:36:14.283819 || ip: 127.0.0.1 || Browser: firefox || Error: Can't convert 'Request' object to str implicitly
Time: 2021-06-04 10:48:57.572464 || ip: 127.0.0.1 || Browser: firefox || Error: Can't convert 'Request' object to str implicitly
Time: 2021-06-04 10:53:42.901781 || ip: 127.0.0.1 || Browser: firefox || Error: Can't convert 'Request' object to str implicitly
Time: 2021-06-04 10:56:12.235793 || ip: 127.0.0.1 || Browser: firefox || Error: Can't convert 'Request' object to str implicitly
Time: 2021-06-04 10:59:48.329890 || ip: 127.0.0.1 || Browser: firefox || Error: Can't convert 'Request' object to str implicitly
Time: 2021-06-04 11:02:39.878491 || ip: 127.0.0.1 || Browser: firefox || Error: Can't convert 'Request' object to str implicitly
Time: 2021-06-04 11:07:14.864293 || ip: 127.0.0.1 || Browser: firefox || Error: Can't convert 'Request' object to str implicitly
Time: 2021-06-04 11:09:29.651187 || ip: 127.0.0.1 || Browser: firefox || Error: Can't convert 'Request' object to str implicitly
Time: 2021-06-04 11:10:08.171789 || ip: 127.0.0.1 || Browser: firefox || Error: Can't convert 'Request' object to str implicitly
Time: 2021-06-04 11:10:08.216427 || ip: 127.0.0.1 || Browser: firefox || Error: Can't convert 'Request' object to str implicitly
