Город,Район,Ссылка,Цена,Время,Наименование
moskva,"Проспект Вернадского,800 м",https://www.avito.ru/moskva/telefony/iphone_x_10_caviar256_gb_2078665831,70 000,2 недели назад,"iPhone X 10 Caviar,256 Gb"
moskva,Беговая,https://www.avito.ru/moskva/telefony/telefon_iphone_x_2161104072,65 000,1 неделю назад,Телефон iPhone X
moskva,"Китай-город,500 м",https://www.avito.ru/moskva/telefony/telefon_iphone_10_xs_max_512_2041425027,65 000,3 недели назад,Телефон iPhone 10 xs max 512
moskva,"Тропарёво,1,5 км",https://www.avito.ru/moskva/telefony/iphone_x_2138941558,60 000,3 недели назад,iPhone x
moskva,"Площадь революции,400 м",https://www.avito.ru/moskva/telefony/iphone_x_2119939530,60 000,,iPhone x
moskva,Савёловская,https://www.avito.ru/moskva/telefony/iphone_x_256gb_space_gray._skupka_telefonov_1838243199,59 990,1 день назад,iPhone X 256Gb Space Gray. Скупка телефонов
moskva,Савёловская,https://www.avito.ru/moskva/telefony/iphone_x_256gb_silver._skupka_iphone_1838539826,59 990,1 день назад,iPhone X 256Gb Silver. Скупка iPhone
moskva,Савёловская,https://www.avito.ru/moskva/telefony/iphone_x_64gb_silver._skupka_tehniki_1838169647,55 990,2 недели назад,iPhone X 64Gb Silver. Скупка техники
moskva,Красные ворота,https://www.avito.ru/moskva/telefony/iphone_x_64gb_armiya_rossii_2114114778,55 000,2 дня назад,iPhone x 64gb Армия России
moskva,"Савёловская,300 м",https://www.avito.ru/moskva/telefony/iphone_x_2022338402,26 000,3 дня назад,iPhone X
moskva,Сокольники,https://www.avito.ru/moskva/telefony/iphone_x_64_gb_dostavka_2139394250,27 990,8 часов назад,iPhone X 64 Gb доставка
moskva,"Смоленская,400 м",https://www.avito.ru/moskva/telefony/originalnyy_displey_iphone_x_xr_xs_max_11pro_1808764254,4 000,5 дней назад,"Оригинальный Дисплей iPhone X, XR, XS, Max, 11,Pro"
moskva,"Площадь революции,400 м",https://www.avito.ru/moskva/telefony/prodam_novyy_apple_iphone_x_64gb_serebristyy_2055697980,51 000,1 неделю назад,Продам новый Apple iPhone X 64GB серебристый
moskva,Строгино,https://www.avito.ru/moskva/telefony/iphone_x_64gb_2139054260,50 000,1 день назад,iPhone X 64gb
moskva,"Дмитровская,700 м",https://www.avito.ru/moskva/telefony/iphone_10_xs_max_512_2110564509,50 000,3 дня назад,iPhone 10 XS Max 512
moskva,"Марксистская,300 м",https://www.avito.ru/moskva/telefony/iphone_88_plus_xxr_1111_pro_12se2020_na_zap_2016448070,50 000,1 неделю назад,"iPhone 8/8 plus, X/Xr, 11/11 pro, 12/SE2020 на зап"
moskva,"Аэропорт,1,1 км",https://www.avito.ru/moskva/telefony/iphone_x_256gb_rst_novyy_2032237239,50 000,3 недели назад,iPhone X 256gb рст новый
moskva,Раменки,https://www.avito.ru/moskva/telefony/iphone_10_xs_max_512_1752102379,50 000,,iPhone 10 XS Max 512
moskva,"Савёловская,300 м",https://www.avito.ru/moskva/telefony/iphone_x_1906301581,26 000,42 минуты назад,iPhone X
moskva,"Международная,100 м",https://www.avito.ru/moskva/predlozheniya_uslug/remont_zamena_stekla_displeya_iphone_8_x_xs_11_1808015873,1 400,2 дня назад,"Ремонт Замена Стекла Дисплея iPhone 8, X, XS, 11"
moskva,Менделеевская,https://www.avito.ru/moskva/telefony/originalnyy_displey_iphone_x_xs_xr_xs_max_1907267498,5 900,4 дня назад,"Оригинальный дисплей iPhone X, XS, XR, XS max"
moskva,"Севастопольская,100 м",https://www.avito.ru/moskva/telefony/telefon_iphone_x_256_1732070190,50 000,,Телефон iPhone x 256
moskva,"Рассказовка,1 км",https://www.avito.ru/moskva/telefony/mobilnye_telefony_bu_iphone_10_2135392945,47 000,2 недели назад,Мобильные телефоны бу iPhone 10
moskva,"Киевская,300 м",https://www.avito.ru/moskva/telefony/smartfon_apple_iphone_x_256gb_silver_2151157200,47 000,2 недели назад,Смартфон Apple iPhone X 256GB Silver
moskva,"Ховрино,1,6 км",https://www.avito.ru/moskva/telefony/iphone_x_256_gb_2166074925,46 000,2 недели назад,iPhone X 256 gb
moskva,Савёловская,https://www.avito.ru/moskva/telefony/iphone_x._skupka_tehniki_1838942606,45 490,2 недели назад,iPhone X. Скупка техники
moskva,"Проспект Вернадского,1,5 км",https://www.avito.ru/moskva/telefony/apple_iphone_x_i_apple_watch_se_44_mm_2156588442,45 000,4 дня назад,Apple iPhone x и apple watch se 44 mm
moskva,Профсоюзная,https://www.avito.ru/moskva/telefony/telefon_iphone_x_max_2153678792,45 000,6 дней назад,Телефон iPhone x max
moskva,"Бауманская,400 м",https://www.avito.ru/moskva/telefony/iphone_10_xs_max_64_gb_2_simkarty_2079825895,45 000,2 недели назад,iPhone 10 xs max 64 gb/ 2 симкарты
moskva,"Багратионовская,800 м",https://www.avito.ru/moskva/telefony/iphone_10_xs_max_512_2124859485,45 000,3 недели назад,iPhone 10 xs max 512
moskva,"Некрасовка,100 м",https://www.avito.ru/moskva/telefony/iphone_x_256_2065620123,45 000,3 недели назад,iPhone x 256
moskva,"Кунцевская,700 м",https://www.avito.ru/moskva/telefony/iphone_10_xs_max_256gb_2100192278,45 000,3 недели назад,iPhone 10 xs max 256gb
moskva,"Стахановская,600 м",https://www.avito.ru/moskva/telefony/novyy_smartfon_apple_iphone_x_256gb_kak_novyy_2134435477,44 050,1 неделю назад,"Новый Смартфон apple iPhone X 256Gb ""Как новый"""
moskva,"Марьино,100 м",https://www.avito.ru/moskva/telefony/iphone_10_xs_max_256gb_zolotoy_2138032368,43 500,2 недели назад,iPhone 10 xs max 256gb золотой
moskva,"Новогиреево,200 м",https://www.avito.ru/moskva/telefony/iphone_x_xs_max_512_gb_rst.obmenprodazha_2055655209,43 333,3 недели назад,iPhone X Xs Max 512 gb рст.Обмен/Продажа
moskva,"Савёловская,300 м",https://www.avito.ru/moskva/telefony/iphone_x_256gb_belyy._novyy._original._garantiya_2020927306,42 990,1 неделю назад,iPhone X 256Gb белый. Новый. Оригинал. Гарантия
moskva,"Савёловская,300 м",https://www.avito.ru/moskva/telefony/iphone_x_256gb_chernyy._novyy._original._garantiya_2021407459,42 990,1 неделю назад,iPhone X 256Gb чёрный. Новый. Оригинал. Гарантия
moskva,Октябрьское поле,https://www.avito.ru/moskva/telefony/iphone_x_256_gb_1972669632,38 000,1 неделю назад,iPhone X 256 Gb
moskva,"Савёловская,200 м",https://www.avito.ru/moskva/telefony/iphone_x_256gb_belyy_serebristyy_garantiya._novyy_2085335025,42 990,1 неделю назад,iPhone X 256Gb белый (серебристый) Гарантия. Новый
moskva,"Савёловская,300 м",https://www.avito.ru/moskva/telefony/iphone_x_256gb_hovyy_postest_1795281124,42 000,4 дня назад,iPhone X 256Gb Hoвый Poстест
moskva,"Пролетарская,600 м",https://www.avito.ru/moskva/telefony/iphone_x_1841836667,42 000,1 неделю назад,iPhone X
moskva,Бабушкинская,https://www.avito.ru/moskva/telefony/telefon_iphone_x_256gb_2061492552,42 000,3 недели назад,Телефон iPhone X 256gb
moskva,Сходненская,https://www.avito.ru/moskva/telefony/iphone_10_xs_max_256_2076073205,41 000,4 дня назад,iPhone 10 xs max 256
moskva,Савёловская,https://www.avito.ru/moskva/telefony/iphone_x._skupka_tehniki_1838648970,40 904,1 неделю назад,iPhone X. Скупка Техники
moskva,Беломорская,https://www.avito.ru/moskva/telefony/telefon_iphone_x_2150245473,40 000,23 часа назад,Телефон iPhone X
moskva,"Битцевский парк,1,2 км",https://www.avito.ru/moskva/telefony/iphone_x_256_2165959672,40 000,6 дней назад,iPhone X 256
moskva,Выхино,https://www.avito.ru/moskva/telefony/iphone_x_64gb_rostest_polnyy_komplekt_2152469907,25 000,1 день назад,iPhone X 64gb Ростест полный комплект
moskva,"Новые Черёмушки,100 м",https://www.avito.ru/moskva/predlozheniya_uslug/zamena_zadnego_stekla_iphone_x_lazerom_xsxrxs12_1230456580,1 000,1 день назад,"Замена заднего стекла iPhone X лазером XS,XR,XS,12"
